sim: 193 entrees   reel (dedup): 128 entrees
VRAIE DIVERGENCE a l'index 51 (ecart > 1 ou valeur differente)
 idx            sim           reel  ecart
  46      (47, 877)      (47, 877)      0
  47      (48, 897)      (48, 897)      0
  48      (49, 908)      (49, 908)      0
  49      (50, 933)      (50, 933)      0
  50      (51, 966)      (51, 966)      0
  51      (52, 969)      (52, 987)     18 <<<
  52      (53, 987)     (53, 1026)     39
  53     (54, 1026)     (54, 1050)     24
  54     (55, 1050)     (55, 1087)     37
  55     (56, 1087)     (56, 1107)     20
  56     (57, 1107)     (57, 1131)     24
  57     (58, 1131)     (58, 1134)      3
  58     (59, 1134)     (59, 1188)     54
  59     (60, 1188)     (60, 1209)     21
  60     (61, 1209)     (61, 1253)     44
  61     (62, 1253)     (62, 1274)     21
  62     (63, 1274)     (63, 1313)     39
  63     (64, 1313)     (64, 1318)      5
  64     (65, 1317)     (65, 1371)     54
  65     (66, 1371)     (66, 1394)     23
Warning: 'set logging off', an alias for the command 'set logging enabled', is deprecated.
Use 'set logging enabled off'.

